Set Lambda Up(nm), Detector 5 (cts/s), Error Counts
1490.6, 13173.8, 178.553521388
1490.7, 12010.0, 210.855874948
1490.8, 12079.0, 172.99595371
1490.9, 12485.7, 150.691771507
1491.0, 13016.4, 249.259784161
1491.1, 12514.9, 108.324004727
1491.2, 12533.3, 221.689896026
1491.3, 12423.1, 212.082271772
1491.4, 12759.9, 179.419870694
1491.5, 12427.5, 168.213703366
1491.6, 13093.6, 219.675761066
1491.7, 11702.8, 169.869832519
1491.8, 11697.5, 195.853133751
1491.9, 12745.3, 202.261241962
1492.0, 11712.4, 187.094200872
1492.1, 13366.5, 142.167682685
1492.2, 12816.1, 120.561561038
1492.3, 11791.9, 196.989568252
1492.4, 13387.3, 296.874064209
1492.5, 12292.0, 153.536314923
1492.6, 12912.1, 189.427268364
1492.7, 12133.2, 206.691944691
1492.8, 12688.2, 258.561714103
1492.9, 11599.1, 136.579976571
1493.0, 13190.7, 157.934828331
1493.1, 12647.7, 203.660035353
1493.2, 12720.2, 235.053525819
1493.3, 12925.0, 200.760553894
1493.4, 12833.1, 210.376068031
1493.5, 12025.2, 132.708552852
1493.6, 12795.6, 138.055206349
1493.7, 13239.1, 170.393925948
1493.8, 12505.5, 222.385363727
1493.9, 12852.0, 124.983198871
1494.0, 13377.2, 187.91849297
1494.1, 11923.3, 131.844643426
1494.2, 11913.6, 177.439116319
1494.3, 12817.2, 149.16822718
1494.4, 14102.6, 130.685270784
1494.5, 13135.0, 225.809211504
1494.6, 12471.2, 110.630737139
1494.7, 12008.3, 179.039129801
1494.8, 12791.0, 106.227115183
1494.9, 12373.1, 108.565602287
1495.0, 12113.7, 136.086038961
1495.1, 12268.6, 226.497328903
1495.2, 11993.7, 179.199358258
1495.3, 13100.7, 105.514027503
1495.4, 12852.6, 200.337814703
1495.5, 11935.6, 98.0369318165
1495.6, 13661.8, 290.391391057
1495.7, 12261.1, 164.591281665
1495.8, 13380.8, 131.518667876
1495.9, 14117.6, 142.76288033
1496.0, 13252.4, 177.580516949
1496.1, 13407.1, 60.4523779516
1496.2, 13143.5, 193.34696791
1496.3, 12418.3, 165.822827138
1496.4, 12445.0, 148.480975212
1496.5, 14818.0, 218.779340889
1496.6, 11755.8, 78.0855940619
1496.7, 12432.6, 227.936921099
1496.8, 12756.3, 155.255949966
1496.9, 13653.5, 296.866720937
1497.0, 12770.4, 260.108515816
1497.1, 12571.8, 229.311491208
1497.2, 13283.2, 136.887398982
1497.3, 11834.8, 219.576319306
1497.4, 14722.0, 253.986220099
1497.5, 12800.7, 174.091384049
1497.6, 11875.3, 257.702561105
1497.7, 12684.6, 126.527625442
1497.8, 13642.1, 195.675471125
1497.9, 12774.1, 137.360438264
1498.0, 12527.0, 247.127092809
1498.1, 12328.8, 140.772014264
1498.2, 12508.2, 142.365585729
1498.3, 12937.1, 112.223393283
1498.4, 14108.5, 160.563538825
1498.5, 12965.7, 168.042881432
1498.6, 14410.6, 88.7662097873
1498.7, 13700.8, 177.625336031
1498.8, 13801.9, 153.403683137
1498.9, 12874.3, 157.405241336
1499.0, 13301.7, 177.123713827
1499.1, 13761.1, 114.702615489
1499.2, 12584.3, 124.456458249
1499.3, 14010.8, 124.90620481
1499.4, 14155.2, 202.056823691
1499.5, 12280.3, 130.349568469
1499.6, 12757.4, 85.2821200487
1499.7, 12706.2, 174.85925769
1499.8, 13942.0, 121.794909582
1499.9, 12512.1, 111.662392953
1500.0, 12446.3, 180.547528369
1500.1, 13163.8, 121.811165334
1500.2, 14072.6, 230.797400332
1500.3, 13220.0, 201.749349441
1500.4, 12785.5, 281.058445879
1500.5, 13090.8, 162.947107983
1500.6, 12552.9, 178.367289602
1500.7, 14020.0, 243.882348685
1500.8, 13330.7, 224.859978653
1500.9, 13526.7, 253.699053999
1501.0, 13462.9, 199.142888399
1501.1, 13359.7, 167.174788769
1501.2, 13259.5, 153.602246077
1501.3, 13960.7, 224.194134624
1501.4, 13706.2, 189.78925154
1501.5, 12328.5, 148.191936353
1501.6, 12900.9, 201.70743665
1501.7, 12682.6, 159.963245779
1501.8, 13247.9, 228.859105128
1501.9, 13651.4, 189.837930878
1502.0, 12522.5, 149.347413771
1502.1, 13071.5, 141.875473567
1502.2, 12902.5, 211.325459895
1502.3, 13699.2, 155.858140628
1502.4, 12890.6, 161.704792755
1502.5, 13360.2, 189.436427331
1502.6, 13056.3, 228.884272068
1502.7, 13161.5, 270.533639313
1502.8, 12850.5, 198.471786408
1502.9, 12792.4, 194.012989256
1503.0, 12692.8, 257.409712326
1503.1, 13714.0, 177.583783043
1503.2, 13180.9, 238.399853188
1503.3, 12629.5, 261.430774776
1503.4, 13992.9, 199.143390551
1503.5, 13386.3, 140.435786038
1503.6, 12573.1, 289.626811604
1503.7, 13176.9, 207.566591724
1503.8, 12493.6, 234.669640133
1503.9, 12182.1, 290.838597851
1504.0, 12653.4, 89.2627581918
1504.1, 12316.8, 258.510657421
1504.2, 13551.8, 136.783624751
1504.3, 12422.2, 279.733373054
1504.4, 12074.1, 267.589031913
1504.5, 11857.4, 238.542742501
1504.6, 12276.5, 249.845252106
1504.7, 13400.1, 225.450859391
1504.8, 12430.9, 145.62860296
1504.9, 13316.6, 224.773752916
1505.0, 12072.2, 270.017703123
1505.1, 12811.7, 170.70210895
1505.2, 11884.9, 177.704501913
1505.3, 11865.7, 221.594246315
1505.4, 11972.3, 148.726628416
1505.5, 12278.9, 314.065104716
1505.6, 11535.9, 157.264395208
1505.7, 12310.2, 232.448187775
1505.8, 11748.5, 130.118599747
1505.9, 12393.2, 244.275991452
1506.0, 11591.4, 132.32172913
1506.1, 12424.0, 133.163808897
1506.2, 10862.3, 105.735566391
1506.3, 12302.6, 140.466508464
1506.4, 11489.9, 191.917404109
1506.5, 12328.4, 218.837016978
1506.6, 11259.2, 223.823055113
1506.7, 11736.4, 195.503043455
1506.8, 11218.1, 245.138919799
1506.9, 11587.4, 143.656674053
1507.0, 11608.1, 107.846604026
1507.1, 11335.2, 176.608493567
1507.2, 11458.9, 272.22764371
1507.3, 11488.6, 186.252087237
1507.4, 10909.4, 158.368683773
1507.5, 12262.9, 127.071200514
1507.6, 11129.1, 127.658489729
1507.7, 11814.0, 263.17218698
1507.8, 12503.2, 159.712116009
1507.9, 12144.5, 287.671774771
1508.0, 11809.3, 301.896356387
1508.1, 11943.1, 277.261410946
1508.2, 10779.7, 177.659815378
1508.3, 11494.4, 246.70152006
1508.4, 11811.3, 184.771778148
1508.5, 12666.5, 204.537649346
1508.6, 11628.0, 225.532259333
1508.7, 11426.5, 190.405488366
1508.8, 11800.1, 187.032858076
1508.9, 10991.4, 200.305366878
1509.0, 11510.3, 201.533148638
1509.1, 11450.5, 245.674276228
1509.2, 11680.7, 236.295598774
1509.3, 11242.3, 123.792608826
1509.4, 10764.3, 188.43144642
1509.5, 11329.9, 251.438441771
1509.6, 11442.9, 121.938878132
1509.7, 11499.3, 249.211175512
1509.8, 11251.7, 161.34438323
1509.9, 11494.5, 264.725234913
1510.0, 12101.0, 203.025121598
1510.1, 11337.2, 88.6958849102
1510.2, 11732.8, 301.159691858
1510.3, 11945.8, 157.100477402
1510.4, 11720.8, 201.679349463
1510.5, 11765.2, 230.088591634
1510.6, 12142.3, 188.32899405
1510.7, 11644.2, 115.759923981
1510.8, 11932.8, 201.412909219
1510.9, 11248.0, 259.962689631
1511.0, 11179.2, 194.540381412
1511.1, 11005.3, 197.032002477
1511.2, 12258.3, 237.72801686
1511.3, 11633.5, 231.689555224
1511.4, 11721.0, 209.739838848
1511.5, 11581.1, 169.629272238
1511.6, 12219.8, 220.986334419
1511.7, 11745.1, 102.467995003
1511.8, 12389.1, 194.085780005
1511.9, 11066.7, 121.600205592
1512.0, 12526.0, 109.388299191
1512.1, 12328.9, 169.347837305
1512.2, 11520.7, 227.297624273
1512.3, 11684.6, 59.4814256722
1512.4, 11524.9, 150.344570903
1512.5, 11022.0, 131.054187266
1512.6, 12022.3, 128.36670129
1512.7, 12668.9, 188.856268098
1512.8, 13235.3, 302.986814895
1512.9, 12367.4, 130.022459598
1513.0, 12751.2, 154.802325564
1513.1, 12188.7, 229.538689549
1513.2, 13355.7, 141.593820487
1513.3, 14375.7, 133.148826506
1513.4, 13565.8, 180.983866684
1513.5, 14758.6, 253.088205968
1513.6, 14357.3, 199.888493916
1513.7, 14596.5, 165.310163027
1513.8, 15509.3, 170.597215687
1513.9, 14237.3, 128.823949637
1514.0, 15095.8, 313.411167638
1514.1, 15987.6, 196.365068177
1514.2, 16960.5, 186.971789316
1514.3, 17158.3, 140.826169443
1514.4, 16772.3, 230.505986907
1514.5, 17094.7, 228.05264743
1514.6, 17186.7, 269.98112897
1514.7, 18518.2, 161.011055521
1514.8, 17618.1, 320.833430303
1514.9, 19066.2, 130.195852469
1515.0, 19410.6, 319.599499374
1515.1, 20537.0, 439.774032885
1515.2, 19925.9, 226.239894802
1515.3, 19172.6, 174.748505001
1515.4, 19638.2, 397.55497733
1515.5, 20158.7, 237.587899524
1515.6, 20261.3, 208.100961074
1515.7, 20779.0, 226.415547169
1515.8, 20705.6, 319.160210553
1515.9, 20114.1, 219.213799748
1516.0, 21029.4, 150.51325523
1516.1, 21065.2, 234.00034188
1516.2, 19212.2, 293.638144661
1516.3, 20326.0, 321.009034141
1516.4, 20171.6, 320.156899035
1516.5, 19677.5, 219.215533209
1516.6, 20668.3, 265.303241593
